ID	Type	Noun1	Noun2	Verb1	Verb2_Incompatible	Verb2_Compatible	Verb3	Nouns	Experiment	CriticalVerb	Sentence
232_Critical_0	vn	teacher	principal	liked	failed the student	annoyed the student	was only a malicious smear	CLAIM ACCUSATION	E2	was	that the teacher who the principal liked annoyed the student was only a malicious smear.
232_Critical_1	vn	doctor	colleague	mistrusted	cured ther patients	bothered the patients	seemed hard to believe	CLAIM FACT	E2	seemed	that the doctor who the colleague mistrusted bothered the patients seemed hard to believe.
232_Critical_10	vn	president	farmer	admired	appointed the commander	impressed the commander	was entirely bogus	CLAIM	E2	was	that the president who the farmer admired impressed the commander was entirely bogus.
232_Critical_11	vn	victim	swimmer	rescued	sued the criminal	surprised the criminal	appeared on TV	CLAIM FACT	E2	appeared	that the victim who the swimmer rescued surprised the criminal appeared on TV.
232_Critical_12	vn	guest	cousin	invited	visited the uncle	pleased the uncle	drove Jill crazy	CLAIM FACT	E2	drove	that the guest who the cousin invited pleased the uncle calmed everyone down.
232_Critical_13	vn	psychiatrist	nurse	assisted	diagnosed the patient	horrified the patient	became widely known	CLAIM FACT	E2	became	that the psychiatrist who the nurse assisted flattered the patient impressed the whole city.
232_Critical_14	vn	driver	guide	called	phoned the tourist	amazed the tourist	was absolutely true	CLAIM	E2	was	that the driver who the guide called amazed the tourist was absolutely true.
232_Critical_15	vn	actor	fans	loved	greeted the director	astonished the director	appeared to be true	CLAIM	E2	appeared	that the actor who the fans loved astonished the director appeared to be true.
232_Critical_16	vn	banker	analyst	defrauded	trusted the customer	excited the customer	proved to be made up	CLAIM	E2	proved	that the banker who the analyst defrauded excited the customer proved to be made up.
232_Critical_17	vn	judge	attorney	hated	acquitted the defendant	vindicated the defendant	was a lie	CLAIM	E2	was	that the judge who the attorney hated vindicated the defendant was a lie.
232_Critical_18	vn	captain	crew	trusted	commanded the sailor	motivated the sailor	was nice to hear	CLAIM FACT	E2	was	that the captain who the crew trusted motivated the sailor was nice to hear.
232_Critical_19	vn	manager	boss	authorized	hired the intern	saddened the intern	seemed absurd	CLAIM FACT	E2	seemed	that the manager who the boss authorized saddened the intern seemed absurd.
232_Critical_2	vn	bully	children	hated	harassed the boy	shocked the boy	was entirely correct	CLAIM FACT ACCUSATION	E2	was	that the bully who the children hated shocked the boy was entirely correct.
232_Critical_20	vn	plaintiff	jury	interrogated	interrupted the witness	startled the witness	made it into the news	CLAIM FACT	E2	made	that the plaintiff who the jury interrogated startled the witness made it into the news.
